"configuration","problem","model","data_file","status","time","flatTime","blockType","propagators","userDecisions","objective","paths","peakDepth","initTime","intVariables","restarts","nSolutions","oracleDecisions","flatIntVars","extractedViews","propagations","flatIntConstraints","failures","method","solveTime","run","unifiedVariables"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.4898986369371414","0.156357","complete","49","164","21","0","54","0.005988","35","0","2","0","69","8","1086","57","30","minimize","0.015706","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.39384570717811584","0.158997","complete","49","176","17","0","67","0.00603","69","0","2","0","77","8","636","57","15","minimize","0.015198","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.44280523993074894","0.159874","complete","35","1197","18","0","144","0.005866","51","3","6","556","52","1","6433","36","258","minimize","0.062622","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.5274301366880536","0.178717","complete","25","0","15","0","121","0.006257","32","0","1","498","33","1","3699","26","260","minimize","0.020248","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.2168478369713","0.159321","complete","67","12945133","10","0","79","0.007441","97","0","4","0","105","8","51612708","75","4527700","minimize","1199.8292","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2336339098401","0.163057","complete","67","4260087","34","0","49","0.007174","49","0","1","0","57","8","55075027","75","4169543","minimize","1199.827206","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5667895162478089","0.162031","complete","25","707","15","0","27","0.006015","24","0","3","0","33","1","4879","26","609","minimize","0.0322","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.4428966944105923","0.164253","complete","33","1675","11","0","47","0.005698","45","1","3","224","61","4","8167","37","673","minimize","0.057927","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","54.07969868183136","0.157285","complete","35","225375","35","0","35","0.005666","34","0","7","0","35","1","1186575","36","224445","minimize","53.661667","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6362329982221127","0.174472","complete","49","0","21","0","121","0.006914","35","0","1","399","69","8","2776","57","24","minimize","0.018772","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","26.872304101008922","0.501689","complete","67","207339","18","0","192","0.011411","49","10357","6","170997","105","8","4413290","75","195556","minimize","24.650094","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.3972309990786016","0.16348","complete","33","0","11","0","125","0.005739","45","0","1","145","61","4","860","37","5","minimize","0.006347","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","2.231143516022712","0.507244","complete","49","0","18","0","112","0.010279","35","0","1","143","77","8","1190","57","13","minimize","0.012066","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.7009514309465885","0.161484","complete","25","0","15","0","128","0.006126","32","0","1","527","33","1","3299","26","256","minimize","0.020352","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.3914771219715476","0.159067","complete","35","0","18","0","122","0.005827","51","0","1","240","52","1","878","36","81","minimize","0.012967","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.9579217927530408","0.159396","complete","49","0","28","0","104","0.006667","35","0","1","6256","51","8","83760","57","5634","minimize","0.540174","results_filter_merge","0"
