"configuration","problem","model","data_file","status","time","intVariables","propagations","optTime","nogoods","flatBoolConstraints","objective","restarts","nodes","baseMem","initTime","peakMem","failures","method","paths","flatIntConstraints","evaluatedReifiedConstraints","unifiedVariables","randomSeed","flatBoolVars","peakDepth","boolVariables","solveTime","trailMem","evaluatedHalfReifiedConstraints","flatTime","propagators","run","intVars","extractedViews","oracleDecisions","blockType","variables","flatIntVars","userDecisions","objectiveBound","solutions","backjumps","nSolutions"
"cp-sat","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","0.48091630823910236","","223","","","","35","","","","","","1","minimize","0","36","","","","","","33","0.008863","","","0.178493","","results_filter","","","","","","35","","35","","","1"
"chuffed","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.39180939830839634","","881","0.004","6","20","4","1","47","0.0","0.004","0.0","6","minimize","0","93","80","","-1108049955","80","20","3395","0.004","0.0","","0.162385","177","results_filter","27","","","","3424","28","","","","21","1"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","248.36892507225275","65","548206316","","","608","32","0","","","0.023424","","3344522","minimize","0","1529","","0","","1456","1840","","247.845739","","1456","0.247601","1521","results_filter","","8","3711166","complete","","73","0","","","","70"
"gecode","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.47819540835916996","","446","","","","18","0","46","","0.00643","","6","minimize","0","36","","","","","45","","0.006736","","","0.166969","39","results_filter","","","","","84","52","","","1","","1"
"cp-sat","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","0.4191120006144047","","626","","","","34","","","","","","1","minimize","0","75","","","","","","48","0.011437","","","0.16654","","results_filter","","","","","","57","","34","","","1"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.47988841496407986","24","29027","","","127","11","0","","","0.010934","","169","minimize","0","532","","0","","508","632","","0.017065","","508","0.200667","531","results_filter","","1","1773","complete","","48","678","","","","3"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","168.66356709226966","97","294829811","","","608","11","0","","","0.033778","","1945689","minimize","0","2505","","0","","2432","3071","","168.110909","","2432","0.252996","2497","results_filter","","8","7033","complete","","105","2941861","","","","4"
"cp-sat","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.45018166303634644","","3972","","","","15","","","","","","83","minimize","0","37","","","","","","97","0.014487","","","0.17644","","results_filter","","","","","","61","","15","","","2"
"chuffed","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.5107079204171896","","42455","0.013","30","336","18","3","410","0.0","0.024","0.0","30","minimize","0","1405","1344","","2016954137","1344","57","11461","0.013","0.04","","0.213419","2758","results_filter","83","","","","11546","84","","","","239","3"
"gecode","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","0.4643343798816204","","902","","","","35","0","35","","0.000637","","5","minimize","0","36","","","","","33","","0.006283","","","0.166745","38","results_filter","","","","","101","35","","","1","","1"
"chuffed","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.7609110437334","","1610236999","0.09","7776293","606","16","1","12532995","0.0","0.039","0.0","7776293","minimize","0","2503","2424","","-1665119491","2424","76","15485","1199.67","0.05","","0.328609","4936","results_filter","111","","","","15598","112","","","","4756597","1"
