"configuration","problem","model","data_file","status","time","variables","intVars","flatIntVars","failures","nSolutions","peakMem","solveTime","blockType","optTime","nodes","unifiedVariables","boolVariables","nogoods","restarts","solutions","run","trailMem","paths","propagations","randomSeed","backjumps","extractedViews","intVariables","userDecisions","flatTime","flatBoolVars","evaluatedHalfReifiedConstraints","oracleDecisions","method","flatBoolConstraints","baseMem","propagators","peakDepth","initTime","flatIntConstraints","evaluatedReifiedConstraints","objective"
"gecode","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","515.9648173134774","73","","49","92082365","4","","515.241","","","184164774","","","","0","4","results","","0","1133161167","","","","","","0.165542","","","","minimize","","","40","49","0.000619","37","","16"
"chuffed","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.608588756993413","8062","63","64","383","2","0.0","0.021","","0.02","3546","","7997","383","2","","results","0.02","0","159073","-607697502","3062","","","","0.207091","720","","","minimize","180","0.0","1482","52","0.016","757","720","15"
"gecode","","../filters/filter.mzn","../filters/ewf_1_1.dzn","SATISFIED","1200.2106731832027","111","","43","308253572","1","","1199.76","","","616507169","","","","0","1","results","","0","3449768077","","","","","","0.233229","","","","minimize","","","59","53","0.000747","57","","28"
"chuffed","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.0991412047296762","10778","58","58","2848","1","0.0","0.067","","0.005","5074","","10718","2848","1","","results","0.02","0","715667","-1077162396","2186","","","","0.228068","728","","","minimize","336","0.0","1526","40","0.019","789","728","28"
"chuffed","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.7257332447916269","5156","25","24","2126","1","0.0","0.038","","0.004","2429","","5129","2126","1","","results","0.01","0","448275","-494243845","279","","","","0.20152","254","","","minimize","127","0.0","533","24","0.01","277","254","18"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4967091903090477","7798","52","51","4001","1","0.0","0.065","","0.065","7644","","7744","4001","1","","results","0.02","0","832619","264393201","3600","","","","0.197713","754","","","minimize","241","0.0","1543","43","0.015","787","754","19"
"gecode","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","2.188950164243579","73","","49","272527","4","","1.73149","","","545090","","","","0","4","results","","0","4853726","","","","","","0.162336","","","","minimize","","","40","39","0.001735","37","","18"
"Huub_user","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","64.62809404730797","","","105","1014895","2","","64.055629","complete","","","0","","","0","","results","","0","115332888","","","8","65","1069032","0.261724","2432","2432","3277","minimize","608","","2497","2935","0.034445","2505","","16"
"gecode","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.6789863649755716","71","","25","3","1","","0.025931","","","24","","","","0","1","results","","0","404","","","","","","0.185063","","","","minimize","","","28","23","0.003372","26","","18"
"gecode","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","0.3679990526288748","153","","57","6","1","","0.006136","","","49","","","","0","1","results","","0","1595","","","","","","0.154018","","","","minimize","","","77","48","0.000854","75","","34"
