"configuration","problem","model","data_file","status","time","variables","failures","evaluatedHalfReifiedConstraints","restarts","intVariables","paths","baseMem","objectiveBound","nodes","flatBoolConstraints","blockType","method","eliminatedImplications","trailMem","extractedViews","nSolutions","run","objective","optTime","propagators","peakMem","error","solveTime","propagations","intVars","initTime","unifiedVariables","evaluatedReifiedConstraints","flatIntVars","flatIntConstraints","flatBoolVars","backjumps","nogoods","flatTime","randomSeed","boolVariables","userDecisions","peakDepth","solutions","oracleDecisions"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","255.15326596423984","","322006","","0","13647","0","","","","22200","complete","minimize","2250","","15750","9","results_prod_new","S(13)","","31091","","","251.450021","132810436","","0.558819","0","46410","13650","35892","37710","","","2.22213","","","0","6372","","4483348"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","ERROR","224.09225533809513","","","1485000","","","0","","","","272500","","minimize","5000","","","0","results_prod_new","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","35000","30200","1540003","1525000","","","133.954","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","ERROR","110.77629368472844","","","499500","","","0","","","","94500","","minimize","2250","","","0","results_prod_new","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","15750","13650","524109","517500","","","44.918","","","","","",""
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.0327186957002","","1417569","","0","30197","0","","","","49500","complete","minimize","5000","","35000","6","results_prod_new","S(17)","","69246","","","1193.245197","624142289","","1.307558","0","103600","30200","79747","84100","","","5.56406","","","0","14879","","9130743"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","250.27065666764975","","201032","","3572","13647","0","","","","22200","complete","minimize","2250","","15750","11","results_prod_new","S(13)","","31091","","","246.4102","114826042","","0.577146","0","46410","13650","35892","37710","","","2.32533","","","0","25821","","4366583"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","27.723381077870727","","162982","","0","6097","0","","","","9600","complete","minimize","1000","","7000","1","results_prod_new","S(20)","","13284","","","25.852914","24825226","","0.236601","0","19880","6100","15685","16280","","","1.1112","","","0","2378","","519675"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1201.9732542308047","","14988","","134","30197","0","","","","47500","complete","minimize","5000","","35000","7","results_prod_new","S(16)","","64838","","","1193.449404","180509097","","1.649185","0","98000","30200","77339","80500","","","5.03006","","","0","95317","","13746764"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.366987844929099","","5094","","107","1547","0","","","","2250","complete","minimize","250","","1750","2","results_prod_new","S(9)","","3028","","","0.794315","755194","","0.061136","0","4550","1550","3779","3800","","","0.310968","","","0","3599","","55805"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","1033.562312822789","","679030","","0","30197","0","","","","49500","complete","minimize","5000","","35000","7","results_prod_new","S(17)","","69246","","","1024.338009","323206668","","1.288177","0","103600","30200","79747","84100","","","5.95906","","","0","15056","","5624509"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","UNKNOWN","1200.7624345142394","21550","1377079","18000","0","","0","","","2754606","4250","","minimize","250","","","0","results_prod_new","","","24247","","","1198.45","1169278379","","0.196593","","1750","1550","20754","20000","","","1.55345","","","","471","0",""
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","7.362113973125815","","11345","","122","6097","0","","","","9800","complete","minimize","1000","","7000","7","results_prod_new","S(13)","","13726","","","5.464628","5615993","","0.251941","0","20440","6100","15927","16640","","","1.12647","","","0","14544","","285854"
