"configuration","problem","model","data_file","status","time","paths","restarts","unifiedVariables","evaluatedHalfReifiedConstraints","propagators","peakDepth","run","flatBoolConstraints","flatBoolVars","flatIntConstraints","initTime","objective","flatTime","intVariables","flatIntVars","method","extractedViews","propagations","solveTime","nSolutions","failures","blockType","oracleDecisions","userDecisions"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.8808267815038562","0","1","0","","25","126","results_filter","","","26","0.005606","10","0.166556","32","48","minimize","1","4666","0.022707","4","228","complete","216","1016"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.0634306278079748","0","0","0","1344","1391","1663","results_filter","336","1344","1399","0.020796","18","0.317466","35","77","minimize","8","47060","0.017201","3","55","complete","4796","493"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","1.0492254849523306","0","0","0","","33","52","results_filter","","","37","0.0072","15","0.174824","45","61","minimize","4","82333","0.202774","2","5399","complete","0","24144"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5471635404974222","0","0","0","","25","32","results_filter","","","26","0.00553","15","0.17325","32","33","minimize","1","5791","0.022024","3","621","complete","0","739"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","25.639339054003358","0","7079","0","","67","195","results_filter","","","75","0.007961","11","0.205403","97","105","minimize","8","4372926","24.428769","5","345904","complete","312124","645930"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5500691803172231","0","1","0","","33","147","results_filter","","","37","0.006869","16","0.23973","45","49","minimize","4","6803","0.026031","4","191","complete","406","542"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","4.205655531026423","0","0","0","","35","46","results_filter","","","36","0.0061","18","0.16765","51","52","minimize","1","940149","3.80179","7","67794","complete","0","267235"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","4.364973792806268","0","0","0","","35","46","results_filter","","","36","0.006141","18","0.169144","51","52","minimize","1","904168","3.952716","5","66081","complete","0","257161"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7353006331250072","0","9","0","","33","55","results_filter","","","37","0.005881","15","0.430514","45","61","minimize","4","11833","0.040024","2","862","complete","363","2884"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","45.18362771347165","0","0","0","","67","55","results_filter","","","75","0.008104","32","0.35792","49","73","minimize","8","2291620","42.17333","1","337027","complete","0","341529"
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","45.08393838722259","0","0","0","","67","60","results_filter","","","75","0.007114","32","0.202609","65","73","minimize","8","2260729","44.346934","1","334746","complete","0","338625"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","94.82469808869064","0","27955","0","","67","123","results_filter","","","75","0.007581","32","0.182486","65","73","minimize","8","15344144","94.246985","1","730500","complete","607633","865695"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4417746579274535","0","0","0","80","89","111","results_filter","20","80","92","0.006151","6","0.173299","18","26","minimize","3","728","0.00377","1","13","complete","91","43"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.1745743360370398","0","517","0","","49","36","results_filter","","","57","0.006027","28","0.170148","35","43","minimize","8","151587","0.448379","1","7517","complete","7055","8066"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.5919323395937681","0","0","0","","49","57","results_filter","","","57","0.005863","18","0.194612","35","77","minimize","8","3261","0.026194","3","123","complete","0","954"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","20.878018068149686","0","0","0","","35","43","results_filter","","","36","0.005662","19","0.166503","34","52","minimize","1","6721052","20.48296","11","240105","complete","0","1477291"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7194025302305818","0","0","0","","49","67","results_filter","","","57","0.007366","17","0.171991","69","77","minimize","8","772","0.011069","2","19","complete","0","180"
