"configuration","problem","model","data_file","status","time","propagators","error","restarts","flatBoolConstraints","unifiedVariables","trailMem","variables","userDecisions","run","eliminatedImplications","paths","propagations","baseMem","flatIntVars","flatTime","randomSeed","backjumps","peakDepth","extractedViews","intVariables","objective","evaluatedReifiedConstraints","flatBoolVars","optTime","method","peakMem","solveTime","nodes","nogoods","evaluatedHalfReifiedConstraints","objectiveBound","boolVariables","failures","blockType","nSolutions","oracleDecisions","intVars","solutions","initTime","flatIntConstraints"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","1133.6839407691732","13726","","0","9800","0","","","0","results_prod_shelf_new","1000","0","549158311","","6100","1.0677","","","3228","7000","6097","S(13)","20440","16640","","minimize","","1131.832548","","","","","","1093442","complete","7","4317236","","","0.24316","15927"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.2326273098588","69246","","0","49500","0","","","0","results_prod_shelf_new","5000","0","144342775","","30200","5.66211","","","15206","35000","30197","S(22)","103600","84100","","minimize","","1193.14424","","","","","","169319","complete","3","2256381","","","1.281083","79747"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1202.166201314889","64838","","0","47500","0","","","0","results_prod_shelf_new","5000","0","38414389","","30200","5.25388","","","43660","35000","30197","S(24)","98000","80500","","minimize","","1193.217084","","","","","","19633","complete","3","2572151","","","1.644145","77339"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","UNKNOWN","1210.598353006877","","","","105150","","","","","results_prod_shelf_new","2250","0","","","13650","44.8713","","","","","","","30660","530280","","minimize","","","","","499500","","","","","0","","","","","532870"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.4539479753002524","3250","","0","2350","0","","","0","results_prod_shelf_new","250","0","298209","","1550","0.329495","","","3294","1750","1547","S(4)","4830","3980","","minimize","","0.697735","","","","","","1382","complete","5","27950","","","0.060671","3901"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","75.13542715553194","30429","","0","21900","0","","","0","results_prod_shelf_new","2250","0","3521019","","13650","2.31597","","","27960","15750","13647","S(20)","45570","37170","","minimize","","71.447422","","","","","","6108","complete","9","248043","","","0.502816","35530"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","77.21355565544218","305196","","6","34000","","0.63","368180","","results_prod_shelf_new","1000","0","226352133","0.0","6099","13.0964","38958265","558606","5321","","","15","160300","160400","56.506","minimize","0.0","58.032","601625","14284","","","362079","14284","","6","","6099","","2.575","161595"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1230.1352625172585","","","","297000","","","","","results_prod_shelf_new","5000","0","","","30199","134.178","","","","","","S(50)","1554300","1554400","","minimize","","","","","","","","","","1","","","","","1559698"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1231.424511168152","","","","295000","","","","","results_prod_shelf_new","5000","0","","","30199","138.597","","","","","","S(50)","1551500","1552000","","minimize","","","","","","","","","","1","","","","","1557690"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.765509433113","11958","","0","9000","0","","","0","results_prod_shelf_new","1000","0","91290861","","6100","1.02352","","","25633","7000","6097","S(7)","18200","15200","","minimize","","1198.700783","","","","","","532778","complete","2","9430969","","","0.303659","14959"
