"configuration","problem","model","data_file","status","time","propagations","blockType","objective","nSolutions","peakDepth","paths","flatBoolConstraints","flatIntVars","flatTime","restarts","run","method","failures","unifiedVariables","evaluatedReifiedConstraints","extractedViews","flatIntConstraints","initTime","propagators","intVariables","evaluatedHalfReifiedConstraints","oracleDecisions","solveTime","userDecisions","flatBoolVars"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5354433413595","19448533","complete","5950","27","1565","0","570","725","0.136008","2111","results_free_container","minimize","113414","0","1596","360","1050","0.03081","1260","365","","579410","1199.853647","0","1026"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.6140600563958","3448162","complete","33120","30","8865","0","1200","1505","0.222323","78","results_free_container","minimize","13455","0","3360","750","2196","0.063761","2646","755","","321560","1199.828487","0","2160"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.62680012919","29830253","complete","5070","35","2182","0","570","725","0.193718","2363","results_free_container","minimize","234739","0","1596","360","1050","0.029772","1260","365","","806034","1199.78395","0","1026"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.595690744929","22213071","complete","4185","38","1425","0","465","605","0.192414","431","results_free_container","minimize","288885","0","1302","300","864","0.026251","1029","305","","418820","1199.787251","0","837"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.9531197100878","5897382334","complete","7168","56","157457","0","20860","1205","6.43462","9005","results_free_container","minimize","325496","0","2688","600","121135","1.442798","121495","605","119378","14439756","1192.237438","0","121106"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.6295023858547","27660349","complete","4875","30","1524","0","570","725","0.19455","2593","results_free_container","minimize","239293","0","1596","360","1050","0.027206","1260","365","","735026","1199.798498","0","1026"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.4081983529031","17958599","complete","5520","19","1880","0","570","725","0.145259","2105","results_free_container","minimize","131023","0","1596","360","1050","0.030152","1260","365","","555811","1199.851915","0","1026"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2866658316925","19316232","complete","3360","49","1552","0","465","605","0.121179","2418","results_free_container","minimize","167873","0","1302","300","864","0.025209","1029","305","","678266","1199.876038","0","837"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.5677796686068","5897661","complete","11913","40","2627","0","960","1205","0.194222","434","results_free_container","minimize","21889","0","2688","600","1758","0.045328","2118","605","","211246","1199.824103","0","1728"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.5806401111186","24701188","complete","3978","48","3039","0","465","605","0.191703","3150","results_free_container","minimize","221155","0","1302","300","864","0.026596","1029","305","","757450","1199.817809","0","837"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.6555505506694","5643046","complete","19584","38","4394","0","1210","1505","0.226314","240","results_free_container","minimize","31643","0","3388","750","2208","0.062007","2668","755","","321673","1199.838528","0","2178"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.4184670345858","25053474","complete","7488","42","1709","0","615","785","0.134461","1848","results_free_container","minimize","210715","0","1722","390","1134","0.029405","1359","395","","578317","1199.874334","0","1107"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.1690292470157","6732337455","complete","7650","52","63414","0","9000","785","2.63348","31475","results_free_container","minimize","769153","0","1722","390","51443","0.565013","51668","395","50310","12612741","1196.844542","0","51417"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.3486864492297","15865023","complete","5040","39","2172","0","620","785","0.150275","1288","results_free_container","minimize","98752","0","1736","390","1140","0.031128","1370","395","","504424","1199.831788","0","1116"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5167759796605","18328887","complete","5950","28","1565","0","570","725","0.136245","1530","results_free_container","minimize","134603","0","1596","360","1050","0.032798","1260","365","","526240","1199.834086","0","1026"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.9898953838274","5919555789","complete","12880","38","155453","0","20860","1205","6.43813","9898","results_free_container","minimize","318906","0","2688","600","121157","1.445582","121517","605","119400","11637249","1192.23534","0","121128"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.6293518841267","19992697","complete","5040","28","1823","0","570","725","0.190953","1736","results_free_container","minimize","130543","0","1596","360","1050","0.028606","1260","365","","560257","1199.801403","0","1026"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1566654946655","15874652","complete","7920","42","2174","0","615","785","0.128015","1599","results_free_container","minimize","93299","0","1722","390","1134","0.027496","1359","395","","500039","1199.853037","0","1107"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6340877516195","9515623","complete","8190","28","3584","0","960","1205","0.230177","482","results_free_container","minimize","49603","0","2688","600","1758","0.041308","2118","605","","323504","1199.757794","0","1728"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5178469065577","10860554","complete","7980","39","3516","0","960","1205","0.18326","484","results_free_container","minimize","57139","0","2688","600","1758","0.043294","2118","605","","377709","1199.790526","0","1728"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.899533610791","5379109761","complete","10868","33","156024","0","20860","1205","6.46575","10288","results_free_container","minimize","312691","0","2688","600","121157","1.4551","121517","605","119400","11569709","1192.192582","0","121128"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5298829199746","23615788","complete","5120","42","2299","0","570","725","0.153579","2426","results_free_container","minimize","191057","0","1596","360","1050","0.031455","1260","365","","587073","1199.832746","0","1026"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1712880404666","14671994","complete","6300","52","1567","0","570","725","0.120556","1507","results_free_container","minimize","116602","0","1596","360","1050","0.025729","1260","365","","527335","1199.882605","0","1026"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6066403761506","6024354","complete","8208","44","4869","0","960","1205","0.17398","271","results_free_container","minimize","17384","0","2688","600","1758","0.043063","2118","605","","281304","1199.872796","0","1728"
