"configuration","problem","model","data_file","status","time","solveTime","objective","flatIntVars","userDecisions","paths","initTime","peakDepth","oracleDecisions","flatIntConstraints","restarts","flatBoolVars","nSolutions","propagations","run","propagators","failures","method","flatTime","intVariables","evaluatedHalfReifiedConstraints","unifiedVariables","flatBoolConstraints","extractedViews","blockType"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4346577012911439","0.023558","11","48","1338","0","0.010622","631","2961","532","0","508","5","55307","results_free_filter","531","245","minimize","0.17638","24","508","0","127","1","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","160.84445804730058","160.141455","32","73","865695","0","0.007315","123","607633","75","27955","","1","15344144","results_free_filter","67","730500","minimize","0.159484","65","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.826633325777948","1.069522","28","43","8066","0","0.005573","36","7055","57","517","","1","151587","results_free_filter","49","7517","minimize","0.275258","35","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.7505765883252025","0.055394","18","77","954","0","0.005726","57","0","57","0","","3","3261","results_free_filter","49","123","minimize","0.166867","35","","0","","8","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5878858361393213","0.016542","17","77","180","0","0.009463","67","0","57","0","","2","772","results_free_filter","49","19","minimize","0.172059","69","","0","","8","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","1.0588296363130212","0.010606","21","69","110","0","0.0198","1582","3056","1343","0","1288","2","16265","results_free_filter","1335","5","minimize","0.312048","35","1288","0","336","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7482904475182295","0.077551","15","61","3211","0","0.005501","52","277","37","5","","2","11959","results_free_filter","33","859","minimize","0.166023","45","","0","","4","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.4737200224772","1199.838295","34","57","3170263","0","0.00689","89","2483255","75","117105","","1","61678455","results_free_filter","67","3089972","minimize","0.16196","49","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","118.41244910936803","117.778142","35","35","305884","0","0.005748","72","287024","36","14058","","6","4985046","results_free_filter","35","439316","minimize","0.165888","34","","0","","1","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.8031443152576685","0.076889","15","61","2759","0","0.005574","68","436","37","15","","2","12179","results_free_filter","33","840","minimize","0.209283","45","","0","","4","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.9174338951706886","0.035398","15","33","809","0","0.005579","27","266","26","40","","3","8275","results_free_filter","25","746","minimize","0.160753","24","","0","","1","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.7677527461200953","0.381407","18","49","7275","0","0.005713","113","3982","37","145","","3","84361","results_free_filter","33","4725","minimize","0.162323","29","","0","","4","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2703071311116","1199.752919","34","57","3624537","0","0.020033","1325","2758357","1289","126139","1216","1","1330008588","results_free_filter","1281","3526497","minimize","0.245272","49","1216","0","608","8","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.7863959427922964","0.038148","15","61","484","0","0.005665","141","495","37","1","","3","6815","results_free_filter","33","329","minimize","0.201308","45","","0","","4","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","160.3542910264805","158.933901","32","73","902204","0","0.007325","110","514911","75","28523","","1","15210530","results_free_filter","67","668140","minimize","0.175528","49","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.6456885822117","1199.831666","34","57","3248347","0","0.008667","104","2205693","75","121147","","1","62529172","results_free_filter","67","2853210","minimize","0.17574","49","","0","","8","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.9763862555846572","0.035496","15","33","824","0","0.005584","33","274","26","40","","3","8301","results_free_filter","25","746","minimize","0.191684","32","","0","","1","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","47.92811517138034","47.53094","10","105","523478","0","0.00722","215","244922","75","6373","","6","3495160","results_free_filter","67","288325","minimize","0.164142","97","","0","","8","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7827719133347273","0.087663","11","61","2686","0","0.005454","49","529","37","43","","3","9709","results_free_filter","33","1842","minimize","0.195514","45","","0","","4","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","1.0089534940198064","0.037054","11","61","3558","0","0.013651","916","1737","755","0","720","2","133191","results_free_filter","751","1185","minimize","0.430834","45","720","0","180","4","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.8928494118154049","0.003585","6","26","43","0","0.005098","111","91","92","0","80","1","728","results_free_filter","89","13","minimize","0.170426","18","80","0","20","3","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.243765864521265","1.475222","34","33","16968","0","0.00576","75","14356","37","900","","1","267857","results_free_filter","33","23339","minimize","0.262075","29","","0","","4","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","106.73067917581648","106.019898","11","105","1460488","0","0.007519","195","481631","75","15561","","5","8215846","results_free_filter","67","575879","minimize","0.222603","97","","0","","8","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5995310610160232","0.068986","18","52","1087","0","0.010054","136","528","36","5","","6","9064","results_free_filter","35","304","minimize","0.169684","51","","0","","1","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","1.2207878297194839","0.21001","28","51","6381","0","0.014212","786","4941","783","340","728","1","1468023","results_free_filter","775","5157","minimize","0.41847","35","728","0","336","8","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","140.85027989186347","140.205289","32","73","839271","0","0.006916","108","467732","75","30615","","1","14209353","results_free_filter","67","600807","minimize","0.162715","65","","0","","8","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.961482597514987","0.079825","11","61","2400","0","0.005473","47","387","37","37","","3","8092","results_free_filter","33","1553","minimize","0.178583","45","","0","","4","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.44814206659793854","0.049085","11","48","2199","0","0.005474","39","0","26","0","","3","6068","results_free_filter","25","363","minimize","0.168517","24","","0","","1","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.7405791180208325","0.003608","4","26","32","0","0.005172","20","0","14","0","","1","95","results_free_filter","11","7","minimize","0.221645","18","","0","","3","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.7108652265742421","0.029952","18","25","342","0","0.005057","24","369","26","31","","1","8154","results_free_filter","25","560","minimize","0.170983","24","","0","","1","complete"
