"configuration","problem","model","data_file","status","time","peakDepth","propagations","solveTime","extractedViews","method","flatBoolVars","flatIntVars","propagators","paths","run","eliminatedImplications","flatBoolConstraints","nSolutions","flatIntConstraints","userDecisions","intVariables","evaluatedHalfReifiedConstraints","restarts","blockType","unifiedVariables","evaluatedReifiedConstraints","failures","flatTime","oracleDecisions","initTime"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","77.5530321598053","915","17634240","76.232991","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","243690","109","88","10745","complete","0","12276","372841","0.654253","239466","0.18348"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.40297229308635","2934","659278","1.6571","9738","satisfy","9162","3561","335","0","results_free_rect","36","2934","1","10085","8030","81","72","611","complete","0","6264","12956","0.364045","14338","0.095909"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","58.52854897547513","1873","11827328","56.384017","32724","satisfy","31266","11593","649","0","results_free_rect","54","10044","1","33385","144699","139","108","4777","complete","0","21276","213907","1.10617","134709","0.333651"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","101.55163062270731","138","19141600","99.916041","25025","satisfy","23875","8904","556","0","results_free_rect","50","7675","1","25593","314320","123","100","7787","complete","0","16250","406243","0.81353","180554","0.243359"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","29.091215047985315","125","6308236","27.48432","24048","satisfy","22896","8575","550","0","results_free_rect","48","7344","1","24610","90666","121","96","2821","complete","0","15600","117683","0.815308","62322","0.239374"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","27.653549716807902","108","6951713","26.478657","16380","satisfy","15498","5905","447","0","results_free_rect","42","4956","1","16839","121216","103","84","4067","complete","0","10584","154463","0.577703","61998","0.158737"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","2.067261732183397","74","204507","0.783931","17138","satisfy","16258","6161","453","0","results_free_rect","44","5214","1","17603","2587","105","88","83","complete","0","11088","4252","0.648583","2453","0.167926"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","4.482892796397209","5769","1058322","3.039649","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","9255","109","88","563","complete","0","12276","18086","0.698789","24549","0.179649"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.9079265343025327","167","1188265","1.067648","11609","satisfy","11647","4216","1049","0","results_free_rect","38","3686","1","12672","7305","87","760","245","complete","0","7486","9471","0.43354","3289","0.118869"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","46.91906002163887","2104","37740834","44.455743","36736","satisfy","36680","12975","2203","0","results_free_rect","56","11690","1","38951","135327","145","1624","4235","complete","0","23912","210496","1.33465","124123","0.380596"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.6264792261645198","4661","189745","0.573211","15330","satisfy","14532","5523","427","0","results_free_rect","42","4662","1","15769","2444","99","84","27","complete","0","9912","3854","0.558947","11062","0.15022"
