"configuration","problem","model","data_file","status","time","flatTime","intVars","peakDepth","method","baseMem","boolVariables","blockType","oracleDecisions","nogoods","paths","evaluatedReifiedConstraints","peakMem","evaluatedHalfReifiedConstraints","objectiveBound","backjumps","userDecisions","objective","nodes","initTime","trailMem","flatIntVars","flatBoolVars","flatBoolConstraints","failures","propagations","run","extractedViews","flatIntConstraints","variables","randomSeed","solveTime","restarts","propagators","nSolutions","optTime","intVariables","unifiedVariables","solutions"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.7494443897158","1.74756","","","minimize","","30122","","","","0","651","","29700","90","","","5568","","","","605","30258","5415","328","2660720","results_container_new","","30470","","","11.54","","","2","","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1203.1560658710077","7.00478","","","minimize","","","","","","0","120744","","","","","","15225","","","","1799","120552","20860","","","results_container_new","","121559","","","","","","11","","","",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2529627438635","0.123459","","702","minimize","","","complete","327687","","0","1596","","","","","0","5320","","0.026281","","725","1026","570","278340","17903289","results_container_new","360","1050","","","1199.894321","0","1260","34","","365","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1810348704457","0.131772","","2525","minimize","","","complete","333373","","0","1736","","","","","0","4788","","0.029136","","785","1116","620","269640","17932317","results_container_new","390","1140","","","1199.857038","0","1370","38","","395","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.7590227648616","2.47217","1079","1175","minimize","0.0","110547","","","1376562","0","43638","0.0","","","763150","","14256","2158970","0.581","0.94","1079","43524","7710","1376562","7504928285","results_container_new","","44129","111628","-178313657","1197.576","30","87786","30","1197.498","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1620212784037","0.125341","","827","minimize","","","complete","341726","","0","1596","","","","","0","6384","","0.026989","","725","1026","570","292986","12155349","results_container_new","360","1050","","","1199.855525","0","1260","33","","365","0",""
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3359530419111","0.186808","","4534","minimize","","","complete","313945","","0","3388","","","","","0","16698","","0.05848","","1505","2178","1210","75753","6827625","results_container_new","750","2208","","","1199.831982","0","2668","50","","755","0",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNKNOWN","1200.9354376271367","1.65924","","247","minimize","","","","","","0","","","29700","","","","","2304440","0.266571","","605","29700","4950","1152152","3269932593","results_container_new","","30098","30305","","1198.34","0","35048","0","","","","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1202.1807896010578","7.04446","","","minimize","","119546","","","","0","1366","","119378","144","","","8775","","","","1205","120552","20860","507","2292435","results_container_new","","120965","","","52.9413","","","1","","","",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3074969248846","0.194603","","4440","minimize","","","complete","276757","","0","3360","","","","","0","17248","","0.058724","","1505","2160","1200","30592","3117484","results_container_new","750","2196","","","1199.755132","0","2646","52","","755","0",""
