"configuration","problem","model","data_file","status","time","flatTime","nSolutions","nogoods","extractedViews","propagations","boolVariables","evaluatedHalfReifiedConstraints","oracleDecisions","userDecisions","run","flatBoolConstraints","nodes","intVars","failures","intVariables","unifiedVariables","evaluatedReifiedConstraints","flatIntConstraints","paths","baseMem","backjumps","peakDepth","restarts","flatIntVars","solutions","variables","method","randomSeed","initTime","trailMem","flatBoolVars","eliminatedImplications","propagators","blockType","peakMem","objective","solveTime","objectiveBound"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.2792122513056","0.113589","0","","","841294244","","224","","","results_rect","168","57684210","","28842099","","","","333","0","","","60","0","151","0","379","satisfy","","0.007443","","224","112","503","","","","1199.88",""
"Huub_vsids_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","2.090813046321273","0.714634","1","","21912","261149","","96","16926","0","results_rect","6696","","","3043","117","0","14208","22441","0","","","6709","2","7827","","","satisfy","","0.206412","","20856","48","517","complete","","","0.729613",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7621167041361332","0.314454","1","","7040","52984","","64","2080","1203","results_rect","2112","","","1189","69","0","4512","7334","0","","","2094","0","2603","","","satisfy","","0.073943","","6592","32","282","complete","","","0.114776",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","29.220630122348666","0.584035","1","","16380","7020783","","84","62709","121232","results_rect","4956","","","154637","103","0","10584","16839","0","","","99","4143","5905","","","satisfy","","0.156546","","15498","42","447","complete","","","28.116035",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2368010748178","0.109662","0","","","667317097","","200","","","results_rect","150","60616326","","30308063","","","","297","0","","","54","0","133","0","337","satisfy","","0.002525","","200","100","449","","","","1199.89",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","769.8692560512573","0.698033","1","","19803","111374363","","92","0","3367314","results_rect","6049","","","3363006","111","0","12834","20305","0","","","23","0","7086","","","satisfy","","0.194977","","18837","46","490","complete","","","768.457862",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.524398421868682","0.445958","1","","11609","2496056","","760","77","22157","results_rect","3686","","","22056","87","0","7486","12672","0","","","98","0","4216","","","satisfy","","0.123706","","11647","38","1049","complete","","","2.630114",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.4410538971424103","0.505772","1","","13140","152797","","80","1070","2606","results_rect","3980","","","3403","93","0","8480","13545","0","","","67","27","4759","","","satisfy","","0.132586","","12420","40","393","complete","","","0.484011",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.9079305697232","1.51069","0","","41250","172329502","","120","0","4119767","results_rect","12750","","","4116334","153","0","26880","41991","0","","","18","0","14529","","","satisfy","","0.423189","","39570","60","729","complete","","","1198.061249",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.1863134671002626","0.357288","1","","9214","206698","","68","6413","0","results_rect","2754","","","3265","79","0","5916","9555","0","","","2754","19","3383","","","satisfy","","0.089886","","8636","34","329","complete","","","0.481007",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.927107657306","1.42728","0","","39904","629266797","","1740","0","4303190","results_rect","12702","","","4299599","151","0","25984","42262","0","","","18","0","14077","","","satisfy","","0.418381","","39846","58","2346","complete","","","1198.149974",""
"Huub_vsids_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.2023267392069101","0.360413","1","","9214","206698","","68","6413","0","results_rect","2754","","","3265","79","0","5916","9555","0","","","2754","19","3383","","","satisfy","","0.092166","","8636","34","329","complete","","","0.482629",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7963671404868364","0.328349","1","","8032","69152","","64","2931","1305","results_rect","2400","","","1606","73","0","5152","8350","0","","","2381","86","2959","","","satisfy","","0.080889","","7520","32","306","complete","","","0.141386",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.3285403102636","0.147294","0","6266548","","3131117801","25053","100","","","results_rect","500","6576826","159","6266548","","","1300","1496","0","0.0","310269","17","0","133","","25214","satisfy","2076694269","0.042","0.05","1450","50","2737","","0.0","","1199.849",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","10.868082543835044","0.964482","1","","27456","2546171","","104","28520","34957","results_rect","8424","","","48763","129","0","17836","28052","0","","","1536","1585","9755","","","satisfy","","0.274996","","26208","52","584","complete","","","9.090192",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","21.876171004027128","0.565506","1","","14620","16362248","","840","81","141707","results_rect","4610","","","141432","97","0","9440","15812","0","","","102","0","5283","","","satisfy","","0.150282","","14580","40","1179","complete","","","20.816334",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8055235426872969","0.328167","1","","8032","53437","","64","2368","1356","results_rect","2400","","","1343","73","0","5152","8350","0","","","2381","0","2959","","","satisfy","","0.083013","","7520","32","306","complete","","","0.120751",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7887627966701984","0.334783","1","","7040","52984","","64","2080","1203","results_rect","2112","","","1189","69","0","4512","7334","0","","","2094","0","2603","","","satisfy","","0.073899","","6592","32","282","complete","","","0.114745",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","2.701534830033779","1.4052","1","","39904","404115","","1740","23970","0","results_rect","12702","","","249","151","0","25984","42262","0","","","14382","3","14077","","","satisfy","","0.417205","","39846","58","2346","complete","","","0.140031",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.462775549851358","0.535549","1","","13140","450513","","840","1137","2606","results_rect","4170","","","3326","93","0","8480","14304","0","","","213","27","4759","","","satisfy","","0.140156","","13180","40","1151","complete","","","0.438768",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.485643308609724","0.376816","1","","9738","906639","","72","0","24757","results_rect","2934","","","24692","81","0","6264","10085","0","","","19","0","3561","","","satisfy","","0.09665","","9162","36","335","complete","","","2.732888",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.3609137125313","0.148765","0","7801856","","4049512842","23487","100","","","results_rect","500","8051520","155","7801856","","","1300","1494","0","0.0","249658","16","0","129","","23644","satisfy","1191371420","0.038","0.05","1450","50","2733","","0.0","","1199.849",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","67.59891336690634","0.659147","1","","17138","48608351","","1012","119","389771","results_rect","5445","","","389065","105","0","11088","18526","0","","","142","0","6161","","","satisfy","","0.176614","","17182","44","1376","complete","","","66.251159",""
