"configuration","problem","model","data_file","status","time","restarts","propagators","evaluatedReifiedConstraints","unifiedVariables","failures","flatTime","evaluatedHalfReifiedConstraints","intVariables","extractedViews","peakDepth","solveTime","method","flatIntConstraints","nSolutions","paths","eliminatedImplications","objective","run","initTime","flatBoolConstraints","flatIntVars","oracleDecisions","propagations","blockType","flatBoolVars","userDecisions"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.0512396311387","66","67593","101500","0","3474","5.58665","","30197","35000","14425","1193.145017","minimize","78844","0","0","5000","","results_prod_shelf","1.376623","48750","30200","611626","22084675","complete","82750","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","24.858590005896986","35","160043","19600","0","1277","12.7334","147000","6097","7000","291448","5.728701","minimize","162544","6","0","1000","S(8)","results_prod_shelf","2.336675","34000","6100","1879272","39079231","complete","163100","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.3048865655437112","24","3250","4830","0","1391","0.326135","","1547","1750","3306","0.634296","minimize","3901","5","0","250","S(4)","results_prod_shelf","0.061319","2350","1550","57014","645608","complete","3980","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","148.0477238027379","158","28443","43050","0","25797","2.40856","","13647","15750","49528","143.961866","minimize","34444","5","0","2250","S(8)","results_prod_shelf","0.738025","21000","13650","2456378","27097625","complete","35550","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1200.9888553246856","153","30098","45150","0","21496","2.33535","","13647","15750","31077","1197.089379","minimize","35349","4","0","2250","S(15)","results_prod_shelf","0.618285","21750","13650","2533173","48286655","complete","36900","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.1523612067103","50","64838","98000","0","83273","5.86138","","30197","35000","60377","1192.551603","minimize","77339","0","0","5000","","results_prod_shelf","1.71157","47500","30200","60940276","215688065","complete","80500","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","137.62250716984272","26","13063","19600","0","64871","1.15352","","6097","7000","14424","135.733481","minimize","15564","7","0","1000","S(8)","results_prod_shelf","0.27029","9500","6100","3499311","56174630","complete","16100","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","12.509584362618625","111","13063","19600","0","6482","1.07445","","6097","7000","15338","10.698688","minimize","15564","4","0","1000","S(8)","results_prod_shelf","0.272385","9500","6100","344211","4866519","complete","16100","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.7181004835293","8","11958","18200","0","2011974","0.995734","","6097","7000","26177","1198.915067","minimize","14959","3","0","1000","S(8)","results_prod_shelf","0.307455","9000","6100","19812278","235491499","complete","15200","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","10.289181496016681","35","3250","4830","0","2665","0.324675","","1547","1750","3396","9.619948","minimize","3901","6","0","250","S(4)","results_prod_shelf","0.060853","2350","1550","197766","2549342","complete","3980","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","390.409968114458","136","1552543","101500","0","27387","132.63","1485000","30197","35000","2958248","192.519865","minimize","1563794","3","0","5000","S(16)","results_prod_shelf","25.128699","296250","30200","26659600","610605069","complete","1567750","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","501.82618492562324","1175","67593","101500","0","91109","5.5224","","30197","35000","67222","492.764505","minimize","78844","7","0","5000","S(16)","results_prod_shelf","1.417504","48750","30200","11478267","139088297","complete","82750","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.8938915925100446","32","3250","4830","0","2860","0.319739","","1547","1750","3297","1.315167","minimize","3901","6","0","250","S(4)","results_prod_shelf","0.060711","2350","1550","100677","1163119","complete","3980","0"
