"configuration","problem","model","data_file","status","time","flatIntConstraints","flatIntVars","restarts","backjumps","nSolutions","nogoods","blockType","flatTime","optTime","userDecisions","randomSeed","evaluatedHalfReifiedConstraints","boolVariables","baseMem","flatBoolConstraints","initTime","objective","nodes","intVars","objectiveBound","unifiedVariables","trailMem","intVariables","peakMem","failures","oracleDecisions","propagators","flatBoolVars","peakDepth","run","variables","propagations","method","paths","extractedViews","evaluatedReifiedConstraints","solutions","solveTime"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3037282871082","2196","1505","63","","19","","complete","0.175967","","0","","","","","1200","0.059248","34992","","","","0","","755","","4373","183568","2646","2160","5722","results_container","","1783429","minimize","0","750","3360","","1199.790072"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.1770495604724","1140","785","1456","","38","","complete","0.127087","","0","","","","","620","0.027727","4914","","","","0","","395","","117896","518658","1370","1116","2734","results_container","","14593544","minimize","0","390","1736","","1199.870334"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.3589133433998","864","605","6118","","46","","complete","0.119885","","0","","","","","465","0.023091","3276","","","","0","","305","","646460","1864281","1029","837","2373","results_container","","56010323","minimize","0","300","1302","","1199.875049"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.6604849444702","1140","785","2187","","48","","complete","0.261417","","0","","","","","620","0.035746","4680","","","","0","","395","","286870","790767","1370","1116","2381","results_container","","32494124","minimize","0","390","1736","","1199.730138"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1804840127006","864","605","7868","","46","","complete","0.122302","","0","","","","","465","0.022266","3312","","","","0","","305","","529540","1837937","1029","837","2555","results_container","","60121654","minimize","0","300","1302","","1199.886045"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.3245029225945","1758","1205","1309","","45","","complete","0.162286","","0","","","","","960","0.042995","7315","","","","0","","605","","128132","723448","2118","1728","6358","results_container","","22702190","minimize","0","600","2688","","1199.840031"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2329791830853","121559","1799","","","0","","","7.03916","","","","","","","20860","","","","","","","","","","","","","120552","","results_container","","","minimize","0","","120744","",""
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.6645372891799","1140","785","5051","","53","","complete","0.255349","","0","","","","","620","0.032441","4374","","","","0","","395","","370919","1398406","1370","1116","1835","results_container","","56402319","minimize","0","390","1736","","1199.734454"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.269948859699","120197","1205","","","0","","","6.89239","","","","119400","","","19900","","","","","","","","","","","","","119400","","results_container","","","minimize","0","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.192246175371","120965","1205","","","2","","","6.89914","","","","119400","119543","","20860","","9975","","","180","","","","","843","","","120552","","results_container","","7253091","minimize","0","","1344","","85.0851"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.1850745268166","120197","1205","","","0","","","6.91725","","","","119400","","","19900","","","","","","","","","","","","","119400","","results_container","","","minimize","0","","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.3662195708603","43319","725","0","","0","","","2.44965","","","","42840","","","7140","0.391168","","1401195","","","","","","","700524","","50459","42840","209","results_container","43565","1645927352","minimize","0","","","0","1197.55"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.6282749203965","864","605","8101","","56","","complete","0.19484","","0","","","","","465","0.03303","3328","","","","0","","305","","450994","2007996","1029","837","1328","results_container","","68381698","minimize","0","300","1302","","1199.791797"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1888611409813","1134","785","1495","","34","","complete","0.124079","","0","","","","","615","0.0273","8100","","","","0","","395","","107312","450661","1359","1107","1728","results_container","","13489851","minimize","0","390","1722","","1199.895507"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.3468237258494","2196","1505","229","","53","","complete","0.194672","","0","","","","","1200","0.060366","20979","","","","0","","755","","18514","432129","2646","2160","10392","results_container","","5334281","minimize","0","750","3360","","1199.759465"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1201.1747355991974","43889","725","29146","","51","","complete","2.3315","","0","","42840","","","7710","0.506487","5568","","","","0","","365","","817570","15883525","44099","43866","53326","results_container","","6539463464","minimize","0","360","1596","","1197.199416"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.6343100760132","870","605","5127","","53","","complete","0.210633","","0","","","","","470","0.028942","4896","","","","0","","305","","418590","1378762","1040","846","1263","results_container","","51048233","minimize","0","300","1316","","1199.787246"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6143269026652","1758","1205","668","","31","","complete","0.261125","","0","","","","","960","0.041248","7392","","","","0","","605","","37538","373839","2118","1728","3372","results_container","","9142496","minimize","0","600","2688","","1199.714428"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.4974208241329","187745","1505","","","0","","","11.1583","","","","186750","","","31125","","","","","","","","","","","","","186750","","results_container","","","minimize","0","","","",""
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.6749176094308","1050","725","5231","","51","","complete","0.253013","","0","","","","","570","0.032212","5236","","","","0","","365","","591490","1417166","1260","1026","2408","results_container","","62447920","minimize","0","360","1596","","1199.743787"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.2714033927768","1758","1205","259","","49","","complete","0.163518","","0","","","","","960","0.043473","7866","","","","0","","605","","14389","288342","2118","1728","5569","results_container","","4905624","minimize","0","600","2688","","1199.827926"
