"configuration","problem","model","data_file","status","time","baseMem","optTime","restarts","evaluatedHalfReifiedConstraints","randomSeed","variables","boolVariables","peakMem","initTime","flatBoolVars","solutions","objective","solveTime","nSolutions","intVariables","flatIntConstraints","blockType","nogoods","nodes","oracleDecisions","intVars","method","error","propagators","unifiedVariables","flatBoolConstraints","propagations","peakDepth","failures","eliminatedImplications","flatIntVars","extractedViews","userDecisions","run","trailMem","evaluatedReifiedConstraints","flatTime","backjumps","objectiveBound","paths"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","24.7020777836442","","","35","147000","","","","","2.280268","163100","","S(8)","5.557779","6","6097","162544","complete","","","1879272","","minimize","","160043","0","34000","39079231","291448","1277","1000","6100","7000","0","results_prod_new","","19600","12.7912","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.1680682320147753","","","24","","","","","","0.057851","3980","","S(4)","0.606495","5","1547","3901","complete","","","57014","","minimize","","3250","0","2350","645608","3306","1391","250","1550","1750","0","results_prod_new","","4830","0.306046","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","12.071995711885393","","","","18000","","","21661","","","21320","","6","9.56109","5","","21671","","","","","","minimize","","","","5350","15368168","","5845","250","1550","","","results_prod_new","","3290","1.6504","","6","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","UNKNOWN","1203.2226830497384","","","","147000","","","","","","160400","","","","0","","161644","","","","","","minimize","","","","34000","","","","1000","6100","","","results_prod_new","","13300","13.0393","","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","27.521801179274917","","","71","","","","","","0.756074","35550","","S(8)","23.429757","3","13647","34444","complete","","","758158","","minimize","","28443","0","21000","8204015","47728","11619","2250","13650","15750","0","results_prod_new","","43050","2.33916","","","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.065427239053","","","153","","","","","","0.600496","36900","","S(15)","1197.159409","4","13647","35349","complete","","","2568824","","minimize","","30098","0","21750","48917886","31077","21576","2250","13650","15750","0","results_prod_new","","45150","2.27687","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","107.42096917051822","","","130","","","","","","1.714563","80500","","S(11)","98.058801","3","30197","77339","complete","","","2942769","","minimize","","64838","0","47500","36249167","223011","23227","5000","30200","35000","0","results_prod_new","","98000","5.58686","","","0"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","UNKNOWN","1204.484920966439","","","","147000","","","","","","155000","","","","0","","158004","","","","","","minimize","","","","29500","","","","1000","6100","","","results_prod_new","","7000","12.7128","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","44.71211845241487","","","","16560","","","20433","","","19740","","5","42.4183","6","","20078","","","","","","minimize","","","","5010","64346459","","89566","240","1488","","","results_prod_new","","3150","1.48361","","5","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","6.0661100605502725","","","69","","","","","","0.268243","16100","","S(8)","4.254997","10","6097","15564","complete","","","289649","","minimize","","13063","0","9500","3163720","14769","4321","1000","6100","7000","0","results_prod_new","","19600","1.0943","","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","5.668937399983406","","","63","","","","","","0.26407","16100","","S(8)","3.848094","9","6097","15564","complete","","","276546","","minimize","","13063","0","9500","3102715","14293","3786","1000","6100","7000","0","results_prod_new","","19600","1.09821","","","0"
