"configuration","problem","model","data_file","status","time","propagators","extractedViews","propagations","evaluatedReifiedConstraints","blockType","method","peakDepth","unifiedVariables","oracleDecisions","flatBoolConstraints","flatBoolVars","evaluatedHalfReifiedConstraints","run","solveTime","flatIntVars","nSolutions","failures","paths","flatTime","intVariables","eliminatedImplications","restarts","userDecisions","initTime","flatIntConstraints"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4799328879453242","424","12502","216910","8056","complete","satisfy","59","0","1383","3762","11780","76","results_rect_basic_prop","0.55845","4543","1","3743","0","0.492477","91","38","39","2723","0.12647","12901"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5203985610278","626","26425","146519470","17150","complete","satisfy","16","0","0","8075","25175","100","results_rect_basic_prop","1198.794116","9408","0","4072133","0","0.933747","127","50","0","4077177","0.268283","27015"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","27.191397043061443","676","31131","7052293","20250","complete","satisfy","2561","0","58867","9585","29781","108","results_rect_basic_prop","25.207867","11022","1","94548","0","1.06866","135","54","1871","59949","0.313608","31769"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.0544133329531178","368","9738","136835","6264","complete","satisfy","2951","0","4687","2934","9162","72","results_rect_basic_prop","0.289771","3561","1","1569","0","0.387335","81","36","0","0","0.09735","10085"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","1.548473148024641","488","16380","210468","10584","complete","satisfy","4980","0","6790","4956","15498","84","results_rect_basic_prop","0.423512","5905","1","1562","0","0.600786","103","42","0","0","0.159616","16839"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","UNKNOWN","1200.431766200927","526","18964","160877671","12276","complete","satisfy","21","0","0","5764","17996","88","results_rect_basic_prop","1199.085938","6803","0","4591865","0","0.715293","109","44","0","4597198","0.197634","19460"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","5.726581457071006","403","11609","1589863","7486","complete","satisfy","20","0","0","3515","10963","76","results_rect_basic_prop","4.835401","4216","1","33097","0","0.450126","87","38","0","33222","0.123767","11989"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8537728970404714","337","8032","92824","5152","complete","satisfy","2381","0","2966","2400","7520","64","results_rect_basic_prop","0.166715","2959","1","1567","0","0.354264","73","32","92","1252","0.081649","8350"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.621366402017884","460","14620","237055","9440","complete","satisfy","4441","0","6339","4420","13820","80","results_rect_basic_prop","0.460938","5283","1","1688","0","0.619208","97","40","0","0","0.158402","15053"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8743050009943545","311","7040","67812","4512","complete","satisfy","2167","0","3217","2112","6592","64","results_rect_basic_prop","0.110928","2603","1","820","0","0.320969","69","32","0","0","0.073084","7334"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7414326410507783","311","7040","78324","4512","complete","satisfy","2179","0","2690","2112","6592","64","results_rect_basic_prop","0.138049","2603","1","1339","0","0.301102","69","32","79","1015","0.07281","7334"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.4798109160037711","368","9738","313450","6264","complete","satisfy","38","0","1185","2934","9162","72","results_rect_basic_prop","0.664024","3561","1","3610","0","0.409923","81","36","33","2628","0.104699","10085"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","1.223051936016418","397","11016","208704","7092","complete","satisfy","3344","0","5267","3312","10368","72","results_rect_basic_prop","0.397011","4015","1","1728","0","0.415617","85","36","0","0","0.111305","11390"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.435829921043478","460","14620","156569","9440","complete","satisfy","69","0","610","4420","13820","80","results_rect_basic_prop","0.429289","5283","1","2857","0","0.535406","97","40","1","2450","0.141196","15053"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5384334969567","626","26425","144942962","17150","complete","satisfy","15","0","0","8075","25175","100","results_rect_basic_prop","1198.665089","9408","0","4025039","0","1.04358","127","50","0","4030053","0.288747","27015"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","28.534791265963577","460","14620","7574374","9440","complete","satisfy","22","0","0","4420","13820","80","results_rect_basic_prop","27.512247","5283","1","160507","0","0.544264","97","40","0","160866","0.142546","15053"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","46.88583765097428","466","15330","11032950","9912","complete","satisfy","23","0","0","4662","14532","84","results_rect_basic_prop","45.753674","5523","1","243294","0","0.571568","99","42","0","244554","0.154324","15769"
