"configuration","problem","model","data_file","status","time","run","objective"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp06_true.dzn","","0.123","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","","3.365","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp13_false.dzn","","0.305","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","","42.623","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp03_true.dzn","","0.095","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp14_false.dzn","","0.343","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp11_true.dzn","","0.232","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","","16.996","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp10_true.dzn","","0.21","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp10_true.dzn","","0.208","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","","15.101","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp06_true.dzn","","0.122","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp13_true.dzn","","0.122","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","","1.336","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","","0.765","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp06_true.dzn","","0.123","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp12_false.dzn","","0.114","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","","808.585","results",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp15_false.dzn","","0.163","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp10_false.dzn","","0.189","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp03_true.dzn","","0.096","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp05_true.dzn","","0.112","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp12_true.dzn","","0.263","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp11_false.dzn","","0.107","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","","1.431","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","","0.965","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","","4.617","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp05_false.dzn","","0.096","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp15_true.dzn","","0.493","results",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp11_true.dzn","","0.095","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","","16.759","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp10_true.dzn","","0.197","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","","2.075","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","","2.252","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","","1.563","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp13_false.dzn","","0.123","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","","1.281","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp10_true.dzn","","0.114","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_true.dzn","","0.104","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","","0.86","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp03_false.dzn","","0.099","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","","1.435","results",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp13_false.dzn","","0.113","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","","8.156","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","","72.912","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","","3.355","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","","8.186","results",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","","2.137","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp12_true.dzn","","0.264","results",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","","446.024","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","","1.985","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp14_true.dzn","","0.359","results",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp14_false.dzn","","0.113","results",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_false.dzn","","0.165","results",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","","74.805","results",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_false.dzn","","0.092","results",""
