"configuration","problem","model","data_file","status","time","nogoods","flatTime","propagations","paths","variables","propagators","flatBoolConstraints","trailMem","flatBoolVars","solutions","evaluatedHalfReifiedConstraints","extractedViews","restarts","backjumps","eliminatedImplications","unifiedVariables","nodes","blockType","run","nSolutions","randomSeed","objective","evaluatedReifiedConstraints","peakMem","oracleDecisions","objectiveBound","flatIntConstraints","baseMem","flatIntVars","boolVariables","intVars","peakDepth","userDecisions","solveTime","optTime","intVariables","method","failures","initTime"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.185779619962","","0.099095","490526420","0","373","501","168","","224","0","224","","0","","112","","52747338","","results_all","0","","","","","","","331","","147","","","62","","1199.9","","","satisfy","26373639","0.004351"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","2.6194469034671783","","1.08363","1084974","0","","1919","9529","","29952","","1404","30004","0","","52","0","","complete","results_all","1","","","19500","","19129","","31935","","10643","","","10730","0","0.504934","","133","satisfy","1949","0.313565"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","3.7182410713285208","","0.770953","2987746","0","","1620","6972","","21960","","1200","21912","34","","48","0","","complete","results_all","1","","","14208","","5706","","23544","","7827","","","1153","9367","2.261958","","117","satisfy","13376","0.229817"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_false.dzn","SATISFIED","0.22391789965331554","27","0.084561","19017","0","1457","321","89","0.01","189","","31","","0","0","16","","37","","results_all","1","432111043","","143","0.0","","","202","0.0","31","1415","40","9","","0.004","","","satisfy","27","0.004"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.701022323221","","1.12166","765341271","0","","2029","9936","","31185","","1512","31131","0","","54","0","","complete","results_all","0","","","20250","","0","","33172","","11022","","","19","4393869","1198.542657","","135","satisfy","4383992","0.331824"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","428.11781131476164","","0.09272","574550905","0","","","132","","176","","176","","","","88","","","","results_all","1","","0","","","","0","261","","115","607","","","","427.784","","","satisfy","6160276",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_false.dzn","SATISFIED","0.5913254506886005","","0.100273","2058","0","","129","207","","651","","81","666","0","","9","0","","complete","results_all","1","","","408","","283","","813","","277","","","264","0","0.003666","","17","satisfy","20","0.014043"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.473912050947547","","0.706245","4379424","0","","1501","6302","","19849","","1104","19803","355","","46","0","","complete","results_all","1","","","12834","","11225","","21316","","7086","","","979","11242","3.154325","","111","satisfy","18958","0.196708"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","43.67176499962807","","0.094308","43906128","0","267","359","120","","160","1","160","","0","","80","","2772093","","results_all","1","","","","","","","237","","103","","","51","","43.4103","","","satisfy","1386014","0.002113"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","16.506439115852118","132118","0.118409","55491142","0","14274","1787","350","0.04","960","","80","","0","4540","40","","136679","","results_all","1","592579395","","840","0.0","","","996","0.0","103","14148","124","20","","16.181999","","","satisfy","132118","0.023"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.522077107802","","0.986478","629056095","0","","1777","8375","","26375","","1300","26425","0","","50","0","","complete","results_all","0","","","17150","","0","","28214","","9408","","","15","4596738","1198.733086","","127","satisfy","4591177","0.277658"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_false.dzn","SATISFIED","0.23934788070619106","","0.093039","975","0","","","40","","54","","54","","","","27","","","","results_all","1","","0","","","","0","79","","25","38","","","","0.00714","","","satisfy","6",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","16.84068786352873","132118","0.117806","59275190","0","14848","1957","378","0.04","1050","","84","","0","4729","42","","136872","","results_all","1","-2062004616","","924","0.0","","","1086","0.0","105","14719","127","24","","16.527","","","satisfy","132118","0.026"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","10.966706139966846","","0.092525","19009572","0","233","321","108","","144","1","144","","0","","72","","550308","","results_all","1","","","","","","","211","","87","","","47","","10.7154","","","satisfy","275139","0.001909"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.3574798200279474","","0.091687","207961","0","219","303","102","","136","1","136","","0","","68","","8216","","results_all","1","","","","","","","199","","81","","","34","","0.114281","","","satisfy","4095","0.003219"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.3147128727287","","0.094599","","0","","","162","","216","","216","","","","108","","","","results_all","0","","","","","","","319","","141","","","","","","","","satisfy","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.1607064474374","","0.100588","884822575","0","323","431","144","","192","0","192","","0","","96","","60400234","","results_all","0","","","","","","","285","","127","","","55","","1199.9","","","satisfy","30200020","0.002443"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","5.187310991808772","","0.885538","4014798","0","","1755","7975","","25075","","1300","25025","441","","50","0","","complete","results_all","1","","","16250","","10114","","26792","","8904","","","766","10640","3.229199","","123","satisfy","14040","0.265269"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp07_true.dzn","SATISFIED","0.33463129214942455","","0.105341","2522","0","","159","253","","781","","109","770","0","","11","0","","complete","results_all","1","","","476","","350","","947","","315","","","331","0","0.003722","","19","satisfy","20","0.014318"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.6464030835777521","20168","0.123082","8228827","0","11404","1617","323","0.04","874","","76","","0","855","38","","21046","","results_all","1","-148772439","","760","0.0","","","906","0.0","93","11289","113","22","","1.32","","","satisfy","20168","0.02"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.7909707371145487","22882","0.112118","9508649","0","12414","1621","323","0.04","874","","76","","0","864","38","","23765","","results_all","1","290181749","","760","0.0","","","908","0.0","97","12295","117","20","","1.481","","","satisfy","22882","0.021"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.2350751198828","","0.096496","1109828550","0","393","521","174","","232","0","232","","0","","116","","50545117","","results_all","0","","","","","","","345","","157","","","61","","1199.9","","","satisfy","25272552","0.002844"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6809243950993","","1.22493","667112050","0","","2166","10822","","33964","","1624","33908","0","","56","0","","complete","results_all","0","","","22064","","0","","36086","","11991","","","16","4118802","1198.421132","","141","satisfy","4116307","0.353311"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8613146115094423","","0.353108","236821","0","","852","2703","","8551","","612","8517","0","","34","0","","complete","results_all","1","","","5474","","3137","","9384","","3124","","","3152","1391","0.132436","","75","satisfy","1377","0.090526"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","253.25030128657818","","0.091765","207704890","0","281","377","126","","168","1","168","","0","","84","","14244726","","results_all","1","","","","","","","249","","109","","","61","","252.901","","","satisfy","7122281","0.006718"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_false.dzn","SATISFIED","0.3018379509449005","","0.118455","6015","0","","222","418","","1319","","143","1336","0","","15","0","","complete","results_all","1","","","832","","549","","1575","","535","","","521","0","0.005251","","25","satisfy","29","0.018716"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp08_true.dzn","SATISFIED","0.27944090589880943","","0.111201","3134","0","","207","346","","1071","","143","1056","0","","15","0","","complete","results_all","1","","","656","","464","","1280","","427","","","449","0","0.003997","","23","satisfy","11","0.016105"
