"configuration","problem","model","data_file","status","time","extractedViews","blockType","eliminatedImplications","failures","evaluatedReifiedConstraints","flatIntVars","flatBoolVars","intVariables","flatBoolConstraints","propagations","method","peakDepth","oracleDecisions","run","userDecisions","nSolutions","restarts","unifiedVariables","initTime","propagators","evaluatedHalfReifiedConstraints","paths","flatTime","flatIntConstraints","solveTime"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","833.5005400730297","18964","complete","44","3380087","12276","6803","17996","109","5764","119968995","satisfy","21","0","results_rect_basic","3384316","1","0","0","0.181389","526","88","0","0.675544","19460","832.150676"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.9453129917383194","11609","complete","38","22786","7486","4216","10963","87","3515","1033913","satisfy","20","0","results_rect_basic","22873","1","0","0","0.113213","403","76","0","0.405184","11989","3.150875"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.818537088111043","8032","complete","32","1567","5152","2959","7520","73","2400","92493","satisfy","2381","2966","results_rect_basic","1252","1","92","0","0.079781","337","64","0","0.330654","8350","0.168371"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.7644031471572816","14620","complete","40","1352","9440","5283","13820","97","4420","131470","satisfy","4450","5993","results_rect_basic","0","1","0","0","0.136114","460","80","0","0.628502","15053","0.274237"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.879154508933425","7040","complete","32","975","4512","2603","6592","69","2112","60830","satisfy","2136","3327","results_rect_basic","0","1","0","0","0.072855","311","64","0","0.304381","7334","0.109599"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7615926736034453","7040","complete","32","1337","4512","2603","6592","69","2112","78238","satisfy","2173","2685","results_rect_basic","1015","1","79","0","0.070854","311","64","0","0.301334","7334","0.13989"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.7473702901043","9738","complete","36","12289","6264","3561","9162","81","2934","601197","satisfy","149","5982","results_rect_basic","8822","1","457","0","0.099259","368","72","0","0.453816","10085","1.534836"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","1.1505395183339715","11016","complete","36","1340","7092","4015","10368","85","3312","122698","satisfy","3351","4902","results_rect_basic","0","1","0","0","0.107971","397","72","0","0.412374","11390","0.316918"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.5159484860487282","14620","complete","40","3004","9440","5283","13820","97","4420","165582","satisfy","65","725","results_rect_basic","2450","1","1","0","0.138656","460","80","0","0.562319","15053","0.476167"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.93140511401","26425","complete","50","3999361","17150","9408","25175","127","8075","144070725","satisfy","15","0","results_rect_basic","4004326","0","0","0","0.257368","626","100","0","1.02121","27015","1198.71989"
